,股票名称,股票代码,日期,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入,主力净流入占比,小单流入净占比,中单流入净占比,大单流入净占比,超大单流入净占比,收盘价,涨跌幅
37,宝鹰股份,002047,2022-09-07,55433468.0,-48178315.0,-7255153.0,44610550.0,10822918.0,15.82,-13.75,-2.07,12.73,3.09,5.08,6.95
38,宝鹰股份,002047,2022-09-08,34816087.0,-26268481.0,-8547607.0,19264262.0,15551825.0,10.56,-7.97,-2.59,5.84,4.72,5.16,1.57
39,宝鹰股份,002047,2022-09-09,15961655.0,-28925068.0,12963413.0,17965894.0,-2004239.0,5.14,-9.32,4.18,5.79,-0.65,5.23,1.36
40,宝鹰股份,002047,2022-09-13,-27031851.0,17953118.0,9078733.0,-14622489.0,-12409362.0,-11.37,7.55,3.82,-6.15,-5.22,5.06,-3.25
41,宝鹰股份,002047,2022-09-14,-26483909.0,28740094.0,-2256186.0,-2219991.0,-24263918.0,-13.14,14.26,-1.12,-1.1,-12.04,4.84,-4.35
42,宝鹰股份,002047,2022-09-15,-31631371.0,12590801.0,19040572.0,-393459.0,-31237912.0,-11.49,4.57,6.92,-0.14,-11.35,4.53,-6.4
43,宝鹰股份,002047,2022-09-16,6359125.0,-20215642.0,13856516.0,9166831.0,-2807706.0,4.28,-13.61,9.33,6.17,-1.89,4.55,0.44
44,宝鹰股份,002047,2022-09-19,2560744.0,-15153006.0,12592261.0,4882282.0,-2321538.0,1.94,-11.49,9.54,3.7,-1.76,4.4,-3.3
45,宝鹰股份,002047,2022-09-20,53323072.0,-39465633.0,-13857440.0,25048039.0,28275033.0,12.35,-9.14,-3.21,5.8,6.55,4.59,4.32
46,宝鹰股份,002047,2022-09-21,15251721.0,-21795155.0,6543433.0,-9306715.0,24558436.0,3.64,-5.2,1.56,-2.22,5.86,4.69,2.18
47,宝鹰股份,002047,2022-09-22,886634.0,-23799658.0,22913025.0,2626623.0,-1739989.0,0.24,-6.56,6.32,0.72,-0.48,4.82,2.77
48,宝鹰股份,002047,2022-09-23,-10567946.0,-14180455.0,24748401.0,-3957623.0,-6610323.0,-5.14,-6.9,12.04,-1.93,-3.22,4.73,-1.87
49,宝鹰股份,002047,2022-09-26,22658992.0,-27026326.0,4367334.0,17766983.0,4892009.0,10.83,-12.92,2.09,8.5,2.34,4.76,0.63
50,宝鹰股份,002047,2022-09-27,-5047333.0,-16233948.0,21281280.0,18631573.0,-23678906.0,-1.66,-5.34,7.0,6.13,-7.79,4.79,0.63
51,宝鹰股份,002047,2022-09-28,-14873781.0,2346784.0,12526996.0,-1558793.0,-13314988.0,-8.75,1.38,7.37,-0.92,-7.83,4.49,-6.26
52,宝鹰股份,002047,2022-09-29,-14467836.0,15213619.0,-745783.0,3110226.0,-17578062.0,-8.66,9.11,-0.45,1.86,-10.52,4.28,-4.68
53,宝鹰股份,002047,2022-09-30,2637547.0,10692399.0,-13329944.0,4926655.0,-2289108.0,2.82,11.45,-14.27,5.27,-2.45,4.22,-1.4
54,宝鹰股份,002047,2022-10-10,-21720098.0,18832234.0,2887864.0,-8394185.0,-13325913.0,-21.56,18.7,2.87,-8.33,-13.23,4.03,-4.5
55,宝鹰股份,002047,2022-10-11,3046628.0,-2028685.0,-1017943.0,6941992.0,-3895364.0,3.32,-2.21,-1.11,7.56,-4.24,4.2,4.22
56,宝鹰股份,002047,2022-10-12,25269730.0,-11673792.0,-13595939.0,9370622.0,15899108.0,12.92,-5.97,-6.95,4.79,8.13,4.52,7.62
57,宝鹰股份,002047,2022-10-13,-1438938.0,17099218.0,-15660280.0,2970945.0,-4409883.0,-1.07,12.68,-11.62,2.2,-3.27,4.48,-0.88
58,宝鹰股份,002047,2022-10-14,16981178.0,-10472672.0,-6508504.0,2984214.0,13996964.0,8.08,-4.98,-3.1,1.42,6.66,4.61,2.9
59,宝鹰股份,002047,2022-10-17,8708295.0,-6324723.0,-2383573.0,259065.0,8449230.0,5.08,-3.69,-1.39,0.15,4.93,4.65,0.87
60,宝鹰股份,002047,2022-10-18,-11979270.0,16187911.0,-4208640.0,-5384644.0,-6594626.0,-8.67,11.72,-3.05,-3.9,-4.77,4.57,-1.72
61,宝鹰股份,002047,2022-10-19,44960953.0,-34626935.0,-10334018.0,-490423.0,45451376.0,7.3,-5.62,-1.68,-0.08,7.38,4.9,7.22
62,宝鹰股份,002047,2022-10-20,-2540140.0,-18004928.0,20545070.0,-6210584.0,3670444.0,-0.43,-3.08,3.52,-1.06,0.63,5.06,3.27
63,宝鹰股份,002047,2022-10-21,-28383052.0,22469662.0,5913389.0,-9041722.0,-19341330.0,-9.98,7.9,2.08,-3.18,-6.8,5.03,-0.59
64,宝鹰股份,002047,2022-10-24,-106283955.0,58611301.0,47672654.0,262439.0,-106546394.0,-30.96,17.07,13.89,0.08,-31.04,4.53,-9.94
65,宝鹰股份,002047,2022-10-25,1922480.0,9464755.0,-11387235.0,5137665.0,-3215185.0,0.58,2.85,-3.42,1.54,-0.97,4.65,2.65
66,宝鹰股份,002047,2022-10-26,494913.0,7210145.0,-7705058.0,-4889279.0,5384192.0,0.23,3.35,-3.58,-2.27,2.5,4.72,1.51
67,宝鹰股份,002047,2022-10-27,3410777.0,4166992.0,-7577769.0,11573272.0,-8162495.0,1.69,2.06,-3.75,5.72,-4.04,4.73,0.21
68,宝鹰股份,002047,2022-10-28,-22852807.0,14680199.0,8172607.0,-1321193.0,-21531614.0,-13.13,8.43,4.69,-0.76,-12.37,4.46,-5.71
69,宝鹰股份,002047,2022-10-31,4813485.0,-7013790.0,2200306.0,5071505.0,-258020.0,3.03,-4.42,1.39,3.19,-0.16,4.53,1.57
70,宝鹰股份,002047,2022-11-01,2511990.0,-15150589.0,12638600.0,-5954937.0,8466927.0,1.36,-8.2,6.84,-3.22,4.58,4.75,4.86
71,宝鹰股份,002047,2022-11-02,-331390.0,5296302.0,-4964913.0,-11009059.0,10677669.0,-0.07,1.08,-1.01,-2.24,2.17,5.06,6.53
72,宝鹰股份,002047,2022-11-03,-3444611.0,19741239.0,-16296628.0,20687533.0,-24132144.0,-1.09,6.27,-5.18,6.57,-7.67,4.96,-1.98
73,宝鹰股份,002047,2022-11-04,18351288.0,-19089675.0,738387.0,-16003347.0,34354635.0,3.38,-3.51,0.14,-2.94,6.32,5.21,5.04
74,宝鹰股份,002047,2022-11-07,-82328228.0,43322522.0,39005706.0,-49183696.0,-33144532.0,-20.42,10.75,9.68,-12.2,-8.22,5.07,-2.69
75,宝鹰股份,002047,2022-11-08,-33087526.0,16979060.0,16108467.0,5429830.0,-38517356.0,-13.17,6.76,6.41,2.16,-15.34,5.01,-1.18
76,宝鹰股份,002047,2022-11-09,-16312955.0,5405793.0,10907162.0,-11039506.0,-5273449.0,-8.05,2.67,5.38,-5.45,-2.6,4.89,-2.4
77,宝鹰股份,002047,2022-11-10,-40118102.0,25027679.0,15090423.0,9220002.0,-49338104.0,-18.22,11.37,6.85,4.19,-22.41,4.78,-2.25
78,宝鹰股份,002047,2022-11-11,-20439749.0,14544574.0,5895175.0,-38931604.0,18491855.0,-4.96,3.53,1.43,-9.45,4.49,4.8,0.42
79,宝鹰股份,002047,2022-11-14,-4303922.0,688615.0,3615308.0,-4384608.0,80686.0,-1.78,0.28,1.49,-1.81,0.03,4.67,-2.71
80,宝鹰股份,002047,2022-11-15,-53850485.0,24075348.0,29775137.0,-24128080.0,-29722405.0,-21.77,9.73,12.04,-9.76,-12.02,4.68,0.21
81,宝鹰股份,002047,2022-11-16,-85437712.0,45589415.0,39848298.0,-52750076.0,-32687636.0,-30.0,16.01,13.99,-18.52,-11.48,4.46,-4.7
82,宝鹰股份,002047,2022-11-17,4565268.0,-4956011.0,390743.0,3389801.0,1175467.0,2.97,-3.22,0.25,2.2,0.76,4.5,0.9
83,宝鹰股份,002047,2022-11-18,-19930002.0,8712604.0,11217398.0,-13940277.0,-5989725.0,-12.96,5.66,7.29,-9.06,-3.89,4.4,-2.22
84,宝鹰股份,002047,2022-11-21,-9157475.0,-1431659.0,10589134.0,-8399672.0,-757803.0,-7.98,-1.25,9.23,-7.32,-0.66,4.43,0.68
85,宝鹰股份,002047,2022-11-22,-11023397.0,8305088.0,2718311.0,-6084945.0,-4938452.0,-8.33,6.27,2.05,-4.6,-3.73,4.3,-2.93
86,宝鹰股份,002047,2022-11-23,-31558882.0,14952711.0,16606170.0,3032895.0,-34591777.0,-19.47,9.22,10.24,1.87,-21.34,4.23,-1.63
87,宝鹰股份,002047,2022-11-24,2705601.0,-4767089.0,2061488.0,12447665.0,-9742064.0,1.93,-3.4,1.47,8.88,-6.95,4.27,0.95
88,宝鹰股份,002047,2022-11-25,-1548980.0,-6121685.0,7670664.0,2390405.0,-3939385.0,-1.32,-5.23,6.55,2.04,-3.36,4.3,0.7
89,宝鹰股份,002047,2022-11-28,-11473299.0,7512221.0,3961079.0,2431027.0,-13904326.0,-10.91,7.14,3.77,2.31,-13.22,4.2,-2.33
90,宝鹰股份,002047,2022-11-29,294013.0,-5863013.0,5569001.0,-6488722.0,6782735.0,0.18,-3.53,3.35,-3.9,4.08,4.37,4.05
91,宝鹰股份,002047,2022-11-30,-13601199.0,10351808.0,3249392.0,142769.0,-13743968.0,-11.42,8.69,2.73,0.12,-11.54,4.25,-2.75
92,宝鹰股份,002047,2022-12-01,-12517760.0,6677610.0,5840152.0,-9744767.0,-2772993.0,-15.67,8.36,7.31,-12.2,-3.47,4.23,-0.47
93,宝鹰股份,002047,2022-12-02,-7289124.0,2929109.0,4360016.0,-7023157.0,-265967.0,-10.36,4.16,6.2,-9.99,-0.38,4.26,0.71
94,宝鹰股份,002047,2022-12-05,-54860504.0,30331837.0,24528667.0,-1201213.0,-53659291.0,-34.47,19.06,15.41,-0.75,-33.72,4.2,-1.41
95,宝鹰股份,002047,2022-12-06,-58859273.0,37167763.0,21691510.0,-27064400.0,-31794873.0,-32.33,20.42,11.91,-14.87,-17.46,4.09,-2.62
96,宝鹰股份,002047,2022-12-07,-13838103.0,9794776.0,4043327.0,-11397803.0,-2440300.0,-16.98,12.02,4.96,-13.98,-2.99,4.06,-0.73
97,宝鹰股份,002047,2022-12-08,-15233857.0,13237831.0,1996026.0,3491411.0,-18725268.0,-13.71,11.91,1.8,3.14,-16.85,4.03,-0.74
98,宝鹰股份,002047,2022-12-09,-23900156.0,15603420.0,8296736.0,-2132641.0,-21767515.0,-20.18,13.17,7.01,-1.8,-18.38,3.98,-1.24
99,宝鹰股份,002047,2022-12-12,-2129425.0,10383062.0,-8253637.0,-5007354.0,2877929.0,-2.23,10.89,-8.66,-5.25,3.02,3.92,-1.51
100,宝鹰股份,002047,2022-12-13,-7364876.0,5812119.0,1552757.0,-53819.0,-7311057.0,-11.53,9.1,2.43,-0.08,-11.45,3.92,0.0
101,宝鹰股份,002047,2022-12-14,-2729165.0,1828602.0,900563.0,2692189.0,-5421354.0,-4.19,2.8,1.38,4.13,-8.31,3.93,0.26
