,股票名称,股票代码,时间,主力净流入,小单净流入,中单净流入,大单净流入,超大单净流入
0,宝鹰股份,002047,2022-12-15 09:31,-14820.0,-197013.0,211833.0,-14820.0,0.0
1,宝鹰股份,002047,2022-12-15 09:32,-652139.0,190841.0,461298.0,-652139.0,0.0
2,宝鹰股份,002047,2022-12-15 09:33,-652139.0,41728.0,610411.0,-652139.0,0.0
3,宝鹰股份,002047,2022-12-15 09:34,-652139.0,29386.0,622753.0,-652139.0,0.0
4,宝鹰股份,002047,2022-12-15 09:35,-652139.0,238396.0,413743.0,-652139.0,0.0
5,宝鹰股份,002047,2022-12-15 09:36,-652139.0,205310.0,446829.0,-652139.0,0.0
6,宝鹰股份,002047,2022-12-15 09:37,-452069.0,54966.0,397103.0,-452069.0,0.0
7,宝鹰股份,002047,2022-12-15 09:38,-1170163.0,654347.0,515816.0,-452069.0,-718094.0
8,宝鹰股份,002047,2022-12-15 09:39,-1216065.0,718485.0,497580.0,-452069.0,-763996.0
9,宝鹰股份,002047,2022-12-15 09:40,-1391115.0,784615.0,606500.0,-452069.0,-939046.0
10,宝鹰股份,002047,2022-12-15 09:41,-1516762.0,742591.0,774171.0,-452069.0,-1064693.0
11,宝鹰股份,002047,2022-12-15 09:42,-1516762.0,730921.0,785841.0,-452069.0,-1064693.0
12,宝鹰股份,002047,2022-12-15 09:43,-1213342.0,571870.0,641472.0,-148649.0,-1064693.0
13,宝鹰股份,002047,2022-12-15 09:44,-1213342.0,697097.0,516245.0,-148649.0,-1064693.0
14,宝鹰股份,002047,2022-12-15 09:45,-986555.0,493261.0,493294.0,78138.0,-1064693.0
15,宝鹰股份,002047,2022-12-15 09:46,-986555.0,583120.0,403435.0,78138.0,-1064693.0
16,宝鹰股份,002047,2022-12-15 09:47,-986555.0,557155.0,429400.0,78138.0,-1064693.0
17,宝鹰股份,002047,2022-12-15 09:48,-986555.0,400515.0,586040.0,78138.0,-1064693.0
18,宝鹰股份,002047,2022-12-15 09:49,-986555.0,501498.0,485057.0,78138.0,-1064693.0
19,宝鹰股份,002047,2022-12-15 09:50,-986555.0,776299.0,210256.0,78138.0,-1064693.0
